Graaff Reinet Airport,Graaff Reinet,Africa/Johannesburg
Grahamstown Airport,Grahamstown,Africa/Johannesburg
Greytown Airport,Greytown,Africa/Johannesburg
Harmony Airport,Harmony,Africa/Johannesburg
Harrismith Airport,Harrismith,Africa/Johannesburg
Hoedspruit Air Force Base Airport,Hoedspruit,Africa/Johannesburg
Gariep Dam Airport,Hendrik Verwoerddam,Africa/Johannesburg
OR Tambo International Airport,Johannesburg,Africa/Johannesburg
P C Pelser Airport,Klerksdorp,Africa/Johannesburg
Kimberley Airport,Kimberley,Africa/Johannesburg
Krugersdorp Airport,Krugersdorp,Africa/Johannesburg
Kroonstad Airport,Kroonstad,Africa/Johannesburg
Johan Pienaar Airport,Kuruman,Africa/Johannesburg
Kleinsee Airport,Kleinsee,Africa/Johannesburg
Lanseria Airport,Johannesburg,Africa/Johannesburg
Lichtenburg Airport,Lichtenburg,Africa/Johannesburg
Makhado Air Force Base Airport,Lambertsbaai,Africa/Johannesburg
Langebaanweg Airport,Langebaanweg,Africa/Johannesburg
Ladysmith Airport,Ladysmith,Africa/Johannesburg
Middelburg Airport,Middelburg,Africa/Johannesburg
Margate Airport,Margate,Africa/Johannesburg
Marble Hall Airport,Marble Hall,Africa/Johannesburg
Majuba Power Station Airport,Majuba Power Station,Africa/Johannesburg
Riverside Airport,Malalane,Africa/Johannesburg
Morningside Farm Airport,Musina,Africa/Johannesburg
Mkuze Airport,Mkuze,Africa/Johannesburg
Newcastle Airport,Newcastle,Africa/Johannesburg
Nylstroom Airfield,Nylstroom,Africa/Johannesburg
Overberg Airport,Overberg,Africa/Johannesburg
Oudtshoorn Airport,Oudtshoorn,Africa/Johannesburg
Port Elizabeth Airport,Port Elizabeth,Africa/Johannesburg
Plettenberg Bay Airport,Plettenberg Bay,Africa/Johannesburg
Hendrik Van Eck Airport,Phalaborwa,Africa/Johannesburg
Pietersburg Municipal Airport,Polokwane,Africa/Johannesburg
Port St Johns Airport,Port Saint Johns,Africa/Johannesburg
Pietermaritzburg Airport,Pietermaritzburg,Africa/Johannesburg
Pilanesberg International Airport,Pilanesberg,Africa/Johannesburg
Polokwane International Airport,Potgietersrus,Africa/Johannesburg
Potchefstroom Airport,Potchefstroom,Africa/Johannesburg
Parys Airport,Parys,Africa/Johannesburg
Queenstown Airport,Queenstown,Africa/Johannesburg
Richards Bay Airport,Richard's Bay,Africa/Johannesburg
Rustenburg Airport,Rustenburg,Africa/Johannesburg
Robertson Airport,Robertson,Africa/Johannesburg
Springbok Airport,Springbok,Africa/Johannesburg
Secunda Airport,Secunda,Africa/Johannesburg
Saldanha /Vredenburg Airport,Saldanha,Africa/Johannesburg
Springs Airfield,Springs,Africa/Johannesburg
Swartkop Air Force Base,Swartkop,Africa/Johannesburg
Sishen Airport,Sishen,Africa/Johannesburg
Hendrik Swellengrebel Airport,Swellendam,Africa/Johannesburg
Skukuza Airport,Skukuza,Africa/Johannesburg
Tommys Field Airport,Tommy's Field,Africa/Johannesburg
New Tempe Airport,Bloemfontein,Africa/Johannesburg
Tutuka Power Station Airport,Tutuka,Africa/Johannesburg
Tzaneen Airport,Tzaneen,Africa/Johannesburg
Prince Mangosuthu Buthelezi Airport,Ulundi,Africa/Johannesburg
Pierre Van Ryneveld Airport,Upington,Africa/Johannesburg
K. D. Matanzima Airport,Umtata,Africa/Johannesburg
Vryburg Airport,Vryburg,Africa/Johannesburg
Virginia Airport,Durban,Africa/Johannesburg
Vredendal Airport,Vredendal,Africa/Johannesburg
Vereeniging Airport,Vereeniging,Africa/Johannesburg
Wonderboom Airport,Pretoria,Africa/Johannesburg
Witbank Airport,Witbank,Africa/Johannesburg
Waterkloof Air Force Base,Waterkloof,Africa/Johannesburg
Welkom Airport,Welkom,Africa/Johannesburg
Ysterplaat Air Force Base,Ysterplaat,Africa/Johannesburg
Zeerust Airport,Zeerust,Africa/Johannesburg
Francistown Airport,Francistown,Africa/Gaborone
Jwaneng Airport,Jwaneng,Africa/Gaborone
Kasane Airport,Kasane,Africa/Gaborone
Maun Airport,Maun,Africa/Gaborone
Sir Seretse Khama International Airport,Gaberone,Africa/Gaborone
Selebi Phikwe Airport,Selebi-phikwe,Africa/Gaborone
Maya-Maya Airport,Brazzaville,Africa/Brazzaville
Owando Airport,Owando,Africa/Brazzaville
Ouesso Airport,Ouesso,Africa/Brazzaville
Pointe Noire Airport,Pointe-noire,Africa/Brazzaville
Matsapha Airport,Manzini,Africa/Mbabane
Bangui M'Poko International Airport,Bangui,Africa/Bangui
Berbérati Airport,Berberati,Africa/Bangui
Bata Airport,Bata,Africa/Malabo
Malabo Airport,Malabo,Africa/Malabo
Tiko Airport,Tiko,Africa/Douala
Douala International Airport,Douala,Africa/Douala
Salak Airport,Maroua,Africa/Douala
Foumban Nkounja Airport,Foumban,Africa/Douala
N'Gaoundéré Airport,N'gaoundere,Africa/Douala
Garoua International Airport,Garoua,Africa/Douala
Bafoussam Airport,Bafoussam,Africa/Douala
Bamenda Airport,Bamenda,Africa/Douala
Yaoundé Airport,Yaounde,Africa/Douala
Kasompe Airport,Kasompe,Africa/Lusaka
Livingstone Airport,Livingstone,Africa/Lusaka
Kenneth Kaunda International Airport Lusaka,Lusaka,Africa/Lusaka
Mfuwe Airport,Mfuwe,Africa/Lusaka
Mongu Airport,Mongu,Africa/Lusaka
Simon Mwansa Kapwepwe International Airport,Ndola,Africa/Lusaka
Southdowns Airport,Southdowns,Africa/Lusaka
Mbanza Congo Airport,M'banza-congo,Africa/Luanda
Benguela Airport,Benguela,Africa/Luanda
Cabinda Airport,Cabinda,Africa/Luanda
Nova Lisboa Airport,Huambo,Africa/Luanda
Kuito Airport,Kuito,Africa/Luanda
Lobito Airport,Lobito,Africa/Luanda
Quatro de Fevereiro Airport,Luanda,Africa/Luanda
Malanje Airport,Malanje,Africa/Luanda
Menongue Airport,Menongue,Africa/Luanda
Negage Airport,Negage,Africa/Luanda
Porto Amboim Airport,Porto Amboim,Africa/Luanda
Saurimo Airport,Saurimo,Africa/Luanda
Soyo Airport,Soyo,Africa/Luanda
Lubango Airport,Lubango,Africa/Luanda
Luena Airport,Luena,Africa/Luanda
Uige Airport,Uige,Africa/Luanda
Xangongo Airport,Xangongo,Africa/Luanda
Oyem Airport,Oyem,Africa/Libreville
Okondja Airport,Okondja,Africa/Libreville
Lambarene Airport,Lambarene,Africa/Libreville
Bitam Airport,Bitam,Africa/Libreville
Port Gentil Airport,Port Gentil,Africa/Libreville
Omboue Hopital Airport,Omboue Hospial,Africa/Libreville
Makokou Airport,Makokou,Africa/Libreville
Libreville Leon M'ba International Airport,Libreville,Africa/Libreville
M'Vengue El Hadj Omar Bongo Ondimba International Airport,Franceville,Africa/Libreville
Principe Airport,Principe,Africa/Sao_Tome
São Tomé International Airport,Sao Tome,Africa/Sao_Tome
Beira Airport,Beira,Africa/Maputo
Inhambane Airport,Inhambane,Africa/Maputo
Lichinga Airport,Lichinga,Africa/Maputo
Lumbo Airport,Lumbo,Africa/Maputo
Maputo Airport,Maputo,Africa/Maputo
Mueda Airport,Mueda,Africa/Maputo
Mocímboa da Praia Airport,Mocimboa Da Praia,Africa/Maputo
Marrupa Airport,Marrupa,Africa/Maputo
Nacala Airport,Nacala,Africa/Maputo
Nampula Airport,Nampula,Africa/Maputo
Pemba Airport,Pemba,Africa/Maputo
Quelimane Airport,Quelimane,Africa/Maputo
Songo Airport,Songo,Africa/Maputo
Chingozi Airport,Tete,Africa/Maputo
Ulongwe Airport,Ulongwe,Africa/Maputo
Vilankulo Airport,Vilankulu,Africa/Maputo
Abeche Airport,Abeche,Africa/Ndjamena
Moundou Airport,Moundou,Africa/Ndjamena
N'Djamena International Airport,N'djamena,Africa/Ndjamena
Faya Largeau Airport,Faya-largeau,Africa/Ndjamena
Joshua Mqabuko Nkomo International Airport,Bulawayo,Africa/Harare
Charles Prince Airport,Harare,Africa/Harare
Buffalo Range Airport,Chiredzi,Africa/Harare
Victoria Falls International Airport,Victoria Falls,Africa/Harare
Robert Gabriel Mugabe International Airport,Harare,Africa/Harare
Kariba International Airport,Kariba,Africa/Harare
Mutoko Airport,Mutoko,Africa/Harare
Mutare Airport,Mutare,Africa/Harare
Masvingo International Airport,Masvingo,Africa/Harare
Zvishavane Airport,Zvishavane,Africa/Harare
Thornhill Air Base,Gwert,Africa/Harare
Hwange National Park Airport,Hwange National Park,Africa/Harare
Chileka International Airport,Blantyre,Africa/Blantyre
Karonga Airport,Karonga,Africa/Blantyre
Kasungu Airport,Kasungu,Africa/Blantyre
Lilongwe International Airport,Lilongwe,Africa/Blantyre
Mzuzu Airport,Mzuzu,Africa/Blantyre
Moshoeshoe I International Airport,Maseru,Africa/Maseru
Mejametalana Airbase,Maseru,Africa/Maseru
Ndjili International Airport,Kinshasa,Africa/Kinshasa
Ndolo Airport,Kinshasa,Africa/Kinshasa
Muanda Airport,Muanda,Africa/Kinshasa
Kitona Base Airport,Kitona Base,Africa/Kinshasa
Bandundu Airport,Bandoundu,Africa/Kinshasa
Kikwit Airport,Kikwit,Africa/Kinshasa
Mbandaka Airport,Mbandaka,Africa/Kinshasa
Gbadolite Airport,Gbadolite,Africa/Kinshasa
Gemena Airport,Gemena,Africa/Kinshasa
Kotakoli Airport,Kotakoli,Africa/Kinshasa
Lisala Airport,Lisala,Africa/Kinshasa
Bangoka International Airport,Kisangani,Africa/Lubumbashi
Matari Airport,Isiro,Africa/Lubumbashi
Bunia Airport,Bunia,Africa/Lubumbashi
Buta Zega Airport,Buta Zega,Africa/Lubumbashi
Bukavu Kavumu Airport,Bukavu/kavumu,Africa/Lubumbashi
Goma International Airport,Goma,Africa/Kigali
Kindu Airport,Kindu,Africa/Lubumbashi
Lubumbashi International Airport,Lubumashi,Africa/Lubumbashi
Kolwezi Airport,Kolwezi,Africa/Lubumbashi
Kalemie Airport,Kalemie,Africa/Lubumbashi
Kamina Base Airport,Kamina Base,Africa/Lubumbashi
Kananga Airport,Kananga,Africa/Lubumbashi
Mbuji Mayi Airport,Mbuji-mayi,Africa/Lubumbashi
Modibo Keita International Airport,Bamako,Africa/Bamako
Gao Airport,Gao,Africa/Bamako
Kayes Dag Dag Airport,Kayes,Africa/Bamako
Mopti Airport,Mopti,Africa/Bamako
Timbuktu Airport,Tombouctou,Africa/Bamako
Tessalit Airport,Tessalit,Africa/Bamako
Banjul International Airport,Banjul,Africa/Banjul
Lungi International Airport,Freetown,Africa/Freetown
Cufar Airport,Cufar,Africa/Bissau
Spriggs Payne Airport,Monrovia,Africa/Monrovia
Roberts International Airport,Monrovia,Africa/Monrovia
Al Massira Airport,Agadir,Africa/Casablanca
Tan Tan Airport,Tan Tan,Africa/Casablanca
Saïss Airport,Fes,Africa/Casablanca
Ifrane Airport,Ifrane,Africa/Casablanca
Moulay Ali Cherif Airport,Er-rachidia,Africa/Casablanca
Bassatine Airport,Meknes,Africa/Casablanca
Angads Airport,Oujda,Africa/Casablanca
Ben Slimane Airport,Ben Slimane,Africa/Casablanca
Rabat-Salé Airport,Rabat,Africa/Casablanca
Mohammed V International Airport,Casablanca,Africa/Casablanca
Menara Airport,Marrakech,Africa/Casablanca
Kenitra Airport,Kentira,Africa/Casablanca
Ouarzazate Airport,Ouarzazate,Africa/Casablanca
Cherif Al Idrissi Airport,Al Hociema,Africa/Casablanca
Saniat R'mel Airport,Tetouan,Africa/Casablanca
Ibn Batouta Airport,Tanger,Africa/Casablanca
Ziguinchor Airport,Ziguinchor,Africa/Dakar
Cap Skirring Airport,Cap Skiring,Africa/Dakar
Kaolack Airport,Kaolack,Africa/Dakar
Léopold Sédar Senghor International Airport,Dakar,Africa/Dakar
Saint Louis Airport,St. Louis,Africa/Dakar
Bakel Airport,Bakel,Africa/Dakar
Kédougou Airport,Kedougou,Africa/Dakar
Tambacounda Airport,Tambacounda,Africa/Dakar
Aioun el Atrouss Airport,Aioun El Atrouss,Africa/Nouakchott
Tidjikja Airport,Tidjikja,Africa/Nouakchott
Kiffa Airport,Kiffa,Africa/Nouakchott
Néma Airport,Nema,Africa/Nouakchott
Kaédi Airport,Kaedi,Africa/Nouakchott
Nouakchott–Oumtounsy International Airport,Nouakschott,Africa/Nouakchott
Sélibaby Airport,Selibabi,Africa/Nouakchott
Atar International Airport,Atar,Africa/Nouakchott
Nouadhibou International Airport,Nouadhibou,Africa/Nouakchott
Bir Moghrein Airport,Bir Moghrein,Africa/Nouakchott
Fria Airport,Fira,Africa/Conakry
Faranah Airport,Faranah,Africa/Conakry
Tata Airport,Labe,Africa/Conakry
Addis Ababa Bole International Airport,Addis Ababa,Africa/Addis_Ababa
Lideta Army Airport,Addis Ababa,Africa/Addis_Ababa
Arba Minch Airport,Arba Minch,Africa/Addis_Ababa
Axum Airport,Axum,Africa/Addis_Ababa
Bahir Dar Airport,Bahar Dar,Africa/Addis_Ababa
Aba Tenna Dejazmach Yilma International Airport,Dire Dawa,Africa/Addis_Ababa
Gambella Airport,Gambella,Africa/Addis_Ababa
Gonder Airport,Gondar,Africa/Addis_Ababa
Jimma Airport,Jimma,Africa/Addis_Ababa
Lalibella Airport,Lalibella,Africa/Addis_Ababa
Mekele Airport,Makale,Africa/Addis_Ababa
Asosa Airport,Asosa,Africa/Addis_Ababa
Bujumbura International Airport,Bujumbura,Africa/Bujumbura
Egal International Airport,Hargeisa,Africa/Mogadishu
Berbera Airport,Berbera,Africa/Mogadishu
Kisimayu Airport,Kismayu,Africa/Mogadishu
El Nouzha Airport,Alexandria,Africa/Cairo
Abu Simbel Airport,Abu Simbel,Africa/Cairo
Cairo International Airport,Cairo,Africa/Cairo
Cairo West Airport,Cairo,Africa/Cairo
Hurghada International Airport,Hurghada,Africa/Cairo
El Gora Airport,El Gorah,Africa/Cairo
Luxor International Airport,Luxor,Africa/Cairo
Mersa Matruh Airport,Mersa-matruh,Africa/Cairo
Port Said Airport,Port Said,Africa/Cairo
St Catherine International Airport,St. Catherine,Africa/Cairo
Aswan International Airport,Aswan,Africa/Cairo
El Tor Airport,El-tor,Africa/Cairo
Eldoret International Airport,Eldoret,Africa/Nairobi
