Narsarsuaq Airport,Narssarssuaq,America/Godthab
Godthaab / Nuuk Airport,Godthaab,America/Godthab
Kangerlussuaq Airport,Sondrestrom,America/Godthab
Thule Air Base,Thule,America/Thule
Sault Ste Marie Airport,Sault Sainte Marie,America/Toronto
Winnipeg / St. Andrews Airport,Winnipeg,America/Winnipeg
Halifax / CFB Shearwater Heliport,Halifax,America/Halifax
St. Anthony Airport,St. Anthony,America/St_Johns
Tofino / Long Beach Airport,Tofino,America/Vancouver
Kugaaruk Airport,Pelly Bay,America/Edmonton
Baie Comeau Airport,Baie Comeau,America/Toronto
CFB Bagotville,Bagotville,America/Toronto
Baker Lake Airport,Baker Lake,America/Winnipeg
Campbell River Airport,Campbell River,America/Vancouver
Brandon Municipal Airport,Brandon,America/Winnipeg
Cambridge Bay Airport,Cambridge Bay,America/Edmonton
Nanaimo Airport,Nanaimo,America/Vancouver
Castlegar/West Kootenay Regional Airport,Castlegar,America/Vancouver
Miramichi Airport,Chatham,America/Halifax
Charlo Airport,Charlo,America/Halifax
Kugluktuk Airport,Coppermine,America/Edmonton
Coronation Airport,Coronation,America/Edmonton
Chilliwack Airport,Chilliwack,America/Vancouver
Clyde River Airport,Clyde River,America/Toronto
Coral Harbour Airport,Coral Harbour,America/Coral_Harbour
Dawson City Airport,Dawson,America/Vancouver
Burwash Airport,Burwash,America/Vancouver
Princeton Airport,Princeton,America/Vancouver
Deer Lake Airport,Deer Lake,America/St_Johns
Dease Lake Airport,Dease Lake,America/Vancouver
Dauphin Barker Airport,Dauphin,America/Winnipeg
Dawson Creek Airport,Dawson Creek,America/Dawson_Creek
Edmonton International Airport,Edmonton,America/Edmonton
Arviat Airport,Eskimo Point,America/Winnipeg
Estevan Airport,Estevan,America/Regina
Edson Airport,Edson,America/Edmonton
Eureka Airport,Eureka,America/Winnipeg
Inuvik Mike Zubko Airport,Inuvik,America/Edmonton
Iqaluit Airport,Iqaluit,America/Toronto
Fredericton Airport,Fredericton,America/Halifax
Forestville Airport,Forestville,America/Toronto
Flin Flon Airport,Flin Flon,America/Winnipeg
Fort Resolution Airport,Fort Resolution,America/Edmonton
Fort Simpson Airport,Fort Simpson,America/Edmonton
Kingston Norman Rogers Airport,Kingston,America/Toronto
La Grande Rivière Airport,La Grande Riviere,America/Toronto
Gaspé (Michel-Pouliot) Airport,Gaspe,America/Toronto
Geraldton Greenstone Regional Airport,Geraldton,America/Toronto
Îles-de-la-Madeleine Airport,Iles De La Madeleine,America/Toronto
Hudson Bay Airport,Hudson Bay,America/Regina
Dryden Regional Airport,Dryden,America/Winnipeg
Ulukhaktok Holman Airport,Holman Island,America/Edmonton
Gjoa Haven Airport,Gjoa Haven,America/Edmonton
John C. Munro Hamilton International Airport,Hamilton,America/Toronto
Montréal / Saint-Hubert Airport,Montreal,America/Toronto
Hay River / Merlyn Carter Airport,Hay River,America/Edmonton
Halifax / Stanfield International Airport,Halifax,America/Halifax
Atikokan Municipal Airport,Atikokan,America/Coral_Harbour
Pond Inlet Airport,Pond Inlet,America/Toronto
St Jean Airport,St. Jean,America/Toronto
Stephenville Airport,Stephenville,America/St_Johns
Kamloops Airport,Kamloops,America/Vancouver
Waterloo Airport,Waterloo,America/Toronto
Schefferville Airport,Schefferville,America/Toronto
Kindersley Airport,Kindersley,America/Regina
Buttonville Municipal Airport,Toronto,America/Toronto
Chapleau Airport,Chapleau,America/Toronto
Meadow Lake Airport,Meadow Lake,America/Regina
Lloydminster Airport,Lloydminster,America/Edmonton
Alert Airport,Alert,America/Toronto
Kelowna International Airport,Kelowna,America/Vancouver
Mayo Airport,Mayo,America/Vancouver
Moose Jaw Air Vice Marshal C. M. McEwen Airport,Moose Jaw,America/Regina
Fort McMurray Airport,Fort Mcmurray,America/Edmonton
Moosonee Airport,Moosonee,America/Toronto
Maniwaki Airport,Maniwaki,America/Toronto
Montreal International (Mirabel) Airport,Montreal,America/Toronto
Natashquan Airport,Natashquan,America/Toronto
Ottawa / Gatineau Airport,Gatineau,America/Toronto
Matagami Airport,Matagami,America/Toronto
Old Crow Airport,Old Crow,America/Vancouver
CFB Cold Lake,Cold Lake,America/Edmonton
High Level Airport,High Level,America/Edmonton
Ottawa Macdonald-Cartier International Airport,Ottawa,America/Toronto
Prince Albert Glass Field,Prince Albert,America/Regina
Peace River Airport,Peace River,America/Edmonton
Southport Airport,Portage-la-prairie,America/Winnipeg
Pitt Meadows Airport,Pitt Meadows,America/Vancouver
Pickle Lake Airport,Pickle Lake,America/Coral_Harbour
Port Menier Airport,Port Menier,America/Toronto
Peterborough Airport,Peterborough,America/Toronto
Prince Rupert Airport,Prince Pupert,America/Vancouver
Fort Chipewyan Airport,Fort Chipewyan,America/Edmonton
